Ref,Val,Package,PosX,PosY,Rot,Side
"C15","1n","C0603",-44.000000,83.500000,-90.000000,bottom
"C16","1n","C0603",-39.500000,83.500000,-90.000000,bottom
"C17","1n","C0603",-42.500000,83.500000,-90.000000,bottom
"C18","1n","C0603",-41.000000,83.500000,-90.000000,bottom
"C19","1n","C0603",-47.000000,83.500000,-90.000000,bottom
"C20","1n","C0603",-40.500000,74.000000,180.000000,bottom
"C21","100n","C0603",-45.500000,65.250000,0.000000,bottom
"C22","1n","C0603",-42.750000,73.250000,90.000000,bottom
"C23","1n","C0603",-40.500000,72.500000,180.000000,bottom
"C24","1n","C0603",-46.500000,72.500000,0.000000,bottom
"C25","1n","C0603",-44.250000,73.250000,90.000000,bottom
"C26","1n","C0603",-46.500000,74.000000,180.000000,bottom
"C28","1n","C0603",-45.500000,83.500000,-90.000000,bottom
"D10","SRV05-4-P-T7","SOT-23-6",-41.500000,77.000000,90.000000,bottom
"D11","SRV05-4-P-T7","SOT-23-6",-45.500000,77.000000,90.000000,bottom
"R21","DNP","R0603",-39.500954,89.500000,-90.000000,bottom
"R22","DNP","R0603",-42.500000,89.500000,-90.000000,bottom
"R23","DNP","R0603",-41.000000,89.500000,-90.000000,bottom
"R24","DNP","R0603",-47.000000,89.500000,-90.000000,bottom
"R25","4.7k","R0603",-39.500000,86.500000,-90.000000,bottom
"R26","4.7k","R0603",-42.500000,86.500000,-90.000000,bottom
"R27","4.7k","R0603",-41.000000,86.500000,-90.000000,bottom
"R28","4.7k","R0603",-47.000000,86.500000,-90.000000,bottom
"R29","DNP","R0603",-45.500000,86.500000,-90.000000,bottom
"R30","10k","R0603",-39.500000,80.500000,90.000000,bottom
"R31","10k","R0603",-42.500000,80.500000,90.000000,bottom
"R32","10k","R0603",-41.000000,80.500000,90.000000,bottom
"R42","10k","R0603",-47.000000,80.500000,90.000000,bottom
"R43","10k","R0603",-45.500000,80.500000,90.000000,bottom
"R48","10k","R0603",-44.000000,80.500000,90.000000,bottom
"R49","DNP","R0603",-44.000000,86.500000,-90.000000,bottom
"R50","4.7k","R0603",-45.500000,89.500000,-90.000000,bottom
"R51","4.7k","R0603",-44.000000,89.500000,-90.000000,bottom
"U2","74HC14PW,118","TSSOP-14_4.4x5mm_P0.65mm",-43.500000,69.000000,0.000000,bottom
"C1","10u","C0805",11.575000,52.000000,90.000000,top
"C2","10u","C0805",13.575000,52.000000,90.000000,top
"C3","10u","C0805",15.575000,52.000000,90.000000,top
"C4","10u","C0805",17.575000,52.000000,90.000000,top
"C5","10u","C0805",19.575000,52.000000,90.000000,top
"C6","10u","C0805",11.075000,65.000000,-90.000000,top
"C7","10u","C0805",13.075000,65.000000,-90.000000,top
"C8","10u","C0805",15.075000,65.000000,-90.000000,top
"C9","10u","C0805",17.075000,65.000000,-90.000000,top
"C10","10u","C0805",19.075000,65.000000,-90.000000,top
"C11","100n","C0603",7.700000,59.000000,-90.000000,top
"C12","10n","C0603",7.700000,56.000000,90.000000,top
"C13","10n","C0603",22.500000,57.040000,-90.000000,top
"C14","100n","C0603",8.000000,15.000000,-90.000000,top
"D1","PSM712-LF","SOT-23",61.000000,51.450000,90.000000,top
"D2","B5819W","SOD-123",74.500000,45.000000,90.000000,top
"D3","B5819W","SOD-123",68.500000,39.500000,90.000000,top
"D4","B5819W","SOD-123",74.500000,39.500000,90.000000,top
"D5","B5819W","SOD-123",62.500000,43.500000,90.000000,top
"D6","B5819W","SOD-123",56.500000,43.500000,90.000000,top
"D7","B5819W","SOD-123",68.500000,45.000000,90.000000,top
"D8","B5819W","SOD-123",74.500000,34.000000,90.000000,top
"D9","B5819W","SOD-123",68.500000,34.000000,90.000000,top
"D12","SRV05-4-P-T7","SOT-23-6",19.778185,14.000000,180.000000,top
"F1","12H1500D","PAD-1206-PAD",68.400000,65.500000,-90.000000,top
"F2","12H1500D","PAD-1206-PAD",53.000000,65.000000,-90.000000,top
"F3","12H1500D","PAD-1206-PAD",50.500000,65.000000,-90.000000,top
"G1","PROTO_AREA","PROTO_AREA",66.460000,7.880000,90.000000,top
"G2","PROTO_AREA","PROTO_AREA",74.692000,7.880000,90.000000,top
"G3","LOGO","LOGO",13.000000,5.500000,0.000000,top
"G4","RUSEFI_LOGO","rusefi_logo",3.500000,13.500000,90.000000,top
"J1","rusefi_2x56_pin_conn","rusefi_2x56_pin_connector",77.404267,89.716479,0.000000,top
"J2","USB_B_Mini","USB-MINI-B-VERTICAL",21.625000,35.300000,-90.000000,top
"M1","Module-power_12and5V-0.2","power_12and5V",34.424999,61.325001,-90.000000,top
"M2","Module-vr-max9924-0.1","vr-max9924",24.025000,56.475000,-90.000000,top
"M3","Module-knock-0.2","knock",33.025000,62.025001,180.000000,top
"M4","Module:mega-mcu100/0.1","mega-mcu100",61.925005,5.025000,90.000000,top
"M5","Module-lin-0.1","lin",56.875000,61.204993,-90.000000,top
"Q1","ISL9V3040D3S","TO-252-2",12.160000,23.500000,180.000000,top
"Q2","ISL9V3040D3S","TO-252-2",12.160000,31.000000,180.000000,top
"Q3","ISL9V3040D3S","TO-252-2",12.160000,38.500000,180.000000,top
"Q4","ISL9V3040D3S","TO-252-2",12.160000,46.000000,180.000000,top
"Q5","AO3400A","SOT-23",77.500000,45.500000,90.000000,top
"Q6","AO3400A","SOT-23",71.500000,40.000000,90.000000,top
"Q7","AO3400A","SOT-23",77.500000,40.000000,90.000000,top
"Q8","AO3400A","SOT-23",57.450000,51.437500,90.000000,top
"Q9","AO3400A","SOT-23",65.500000,44.062500,90.000000,top
"Q10","AO3400A","SOT-23",59.500000,44.000000,90.000000,top
"Q11","AO3400A","SOT-23",71.500000,45.500000,90.000000,top
"Q12","AO3400A","SOT-23",77.500000,34.500000,90.000000,top
"Q13","AO3400A","SOT-23",71.500000,34.500000,90.000000,top
"R1","Jumper-Pad-Pad","PAD-0805-PAD",64.000000,65.500000,-90.000000,top
"R2","Jumper-Pad-Pad","PAD-0805-PAD",60.500000,65.500000,-90.000000,top
"R3","Jumper-Pad-Pad","PAD-0805-PAD",55.300000,65.500000,-90.000000,top
"R4","Jumper-Pad-Pad","PAD-0805-PAD",71.400000,65.500000,-90.000000,top
"R5","Jumper-Pad-Pad","PAD-0805-PAD",57.800000,65.500000,-90.000000,top
"R6","Jumper-Pad-Pad","PAD-0805-PAD",77.000000,65.500000,-90.000000,top
"R7","Jumper-Pad-Pad","PAD-0805-PAD",75.100000,65.500000,-90.000000,top
"R8","Jumper-Pad-Pad","PAD-0805-PAD",73.300000,65.500000,-90.000000,top
"R9","Jumper-Pad-Pad","PAD-0805-PAD",37.500000,66.500000,-90.000000,top
"R10","Jumper-Pad-Pad","PAD-0805-PAD",35.500000,66.500000,-90.000000,top
"R11","Jumper-Pad-Pad","PAD-0805-PAD",10.095000,68.500000,0.000000,top
"R12","Jumper-Pad-Pad","PAD-0805-PAD",22.000000,66.500000,-90.000000,top
"R13","Jumper-Pad-Pad","PAD-0805-PAD",33.500000,66.500000,-90.000000,top
"R14","Jumper-Pad-Pad","PAD-0805-PAD",31.500000,66.500000,-90.000000,top
"R15","Jumper-Pad-Pad","PAD-0805-PAD",28.250000,66.500000,-90.000000,top
"R16","Jumper-Pad-Pad","PAD-0805-PAD",24.500000,66.500000,-90.000000,top
"R17","4.7k","R0603",24.000000,20.500000,90.000000,top
"R18","4.7k","R0603",22.500000,60.540000,90.000000,top
"R19","4.7k","R0603",20.500000,17.912500,-90.000000,top
"R20","4.7k","R0603",18.500000,17.912500,90.000000,top
"R33","4.7k","R0603",77.500000,43.000000,0.000000,top
"R34","4.7k","R0603",71.500000,37.500000,0.000000,top
"R35","4.7k","R0603",77.500000,37.500000,0.000000,top
"R36","4.7k","R0603",57.450000,48.937500,0.000000,top
"R37","4.7k","R0603",65.000000,41.500000,0.000000,top
"R38","4.7k","R0603",59.500000,41.500000,0.000000,top
"R39","4.7k","R0603",71.500000,43.000000,0.000000,top
"R40","4.7k","R0603",77.500000,32.000000,0.000000,top
"R41","4.7k","R0603",71.500000,32.000000,0.000000,top
"R44","1k","R_Array_Convex_4x0603",65.500000,28.100000,0.000000,top
"R45","1k","R_Array_Convex_4x0603",69.100000,28.100000,180.000000,top
"R46","1k","R_Array_Convex_4x0603",65.000000,52.000000,0.000000,top
"R47","1k","R_Array_Convex_4x0603",69.000000,52.000000,180.000000,top
"R52","4.7k","R0603",64.400000,47.062500,180.000000,top
"R53","4.7k","R0603",59.100000,47.062500,0.000000,top
"U1","TLE9201SG","Infineon_PG-DSO-12-11",15.375000,58.500000,0.000000,top
"U4","VNLD5160","SOIC-8_3.9x4.9mm_P1.27mm",75.000000,28.265000,0.000000,top
"U5","VNLD5160","SOIC-8_3.9x4.9mm_P1.27mm",75.000000,22.500000,0.000000,top
"U7","74VHC163FT","TSSOP-16_4.4x5mm_P0.65mm",13.000000,15.500000,0.000000,top
"U10","VNLD5160","SOIC-8_3.9x4.9mm_P1.27mm",75.000000,57.500000,0.000000,top
"U11","VNLD5160","SOIC-8_3.9x4.9mm_P1.27mm",75.000000,50.500000,0.000000,top
